age,artist,designer,dominio,imagem,mecanicas,media,notaRank,notas,numOfPlayers,position,timeOfPlay,title,year
 12 + ,Dennis Lohausen,Aaron Haag,Jogos Expert,https://storage.googleapis.com/ludopedia-capas/1752_t.jpg,"Alocação de Trabalhadores,Construção de Rotas,Leilão,Movimento de Área",7.92,6.50,12,2 a 5 jogadores ,1782º,75 min,Yunnan, (2013)
 14 + ,Marc-Antoine Allard,Cyrille Leroy,Jogos Expert,https://storage.googleapis.com/ludopedia-capas/7585_t.jpg,"Colocação de Peças,Tabuleiro Modular",7.50,6.50,17,2 a 4 jogadores ,1783º,45 min,Sapiens, (2015)
 14 + ,Laura Bevon,Matthew Austin,Jogos Expert,https://storage.googleapis.com/ludopedia-capas/14998_t.jpg,"Colecionar Componentes,Gestão de Mão,Jogadores com Diferentes Habilidades",7.44,6.50,18,2 a 5 jogadores ,1784º,120 min,The King's Guild, (2017)
 10 + ,"Xavier Collette,Jérémie Fleury","Frédéric Henry,Cyril Demaegd",Jogos Familiares,https://storage.googleapis.com/ludopedia-capas/9505_t.jpg,Seleção de Cartas,7.93,6.51,12,2 a 10 jogadores ,1781º,30 min,Timeline Challenge , (2015)
 10 + ,"Alex Figini,Chechu Nieto,Maciej Rebisz,Sergey Rumyantsev",Andrew Parks,Jogos Expert,https://storage.googleapis.com/ludopedia-capas/1279_t.jpg,"Gestão de Mão,Construção de Baralho/Peças,Seleção de Cartas",8.21,6.51,10,2 a 5 jogadores ,1779º,90 min,Core Worlds, (2011)
 8 + ,,"Inka Brand,Markus Brand",Jogos Familiares,https://storage.googleapis.com/ludopedia-capas/16385_t.jpg,Rolagem de Dados,7.18,6.50,25,1 a 6 jogadores ,1786º,20 min,Encore!, (2016)
 8 + ,Rita Åse,"A. Robert Moog,Scott A. Mednick",Jogos Familiares,https://storage.googleapis.com/ludopedia-capas/642_t.jpg,"Movimento Ponto-a-Ponto,Papel e Caneta,Dedução",6.68,6.51,100,2 a 7 jogadores ,1778º,30 min,Perfil 2, (1988)
 8 + ,Karim Chakroun,"Brian Engelstein,Geoff Engelstein,Sydney Engelstein",Jogos Expert,https://storage.googleapis.com/ludopedia-capas/383_t.jpg,"Cooperativo,Memória,Rolagem de Dados,Force sua sorte,Tabuleiro Modular,Tempo real",7.15,6.50,26,3 a 6 jogadores ,1785º,90 min,Space Cadets, (2012)
 10 + ,,,Jogos Familiares,https://storage.googleapis.com/ludopedia-capas/575_t.jpg,"Papel e Caneta,Dedução",6.64,6.51,128,2 a 6 jogadores ,1777º,60 min,O Jogo da Enciclopédia, (2000)
 12 + ,Bernhard Skopnik,Holger Bösch,Jogos Expert,https://storage.googleapis.com/ludopedia-capas/16800_t.jpg,"Memória,Narração de Histórias,Dedução",6.76,6.47,55,2 a 15 jogadores ,1848º,20 min,Black Stories: Mystery Edition, (2007)
 8 + ,Annette Nora Kara,Reiner Knizia,Jogos Familiares,https://storage.googleapis.com/ludopedia-capas/2441_t.jpg,"Gestão de Mão,Colecionar Componentes",7.52,6.47,15,2 a 4 jogadores ,1850º,30 min,Lost Cities: The Board Game, (2008)
 14 + ,"Fernando Armentano,Massimo Fratini,Giacomo Tappainer","Guido Albini,Martino Chiacchiera",Jogos Expert,https://storage.googleapis.com/ludopedia-capas/18008_t.jpg,"Cooperativo,Gestão de Mão,Jogadores com Diferentes Habilidades,Negociação",8.21,6.51,10,2 a 4 jogadores ,1780º,45 min,The Faceless, (2018)
 10 + ,Kevin Hill,"James D'Aloisio,Austin Rucker,Craig Van Ness",Jogos Expert,https://storage.googleapis.com/ludopedia-capas/8714_t.jpg,"Controle/Influência de Área,Jogadores com Diferentes Habilidades,Movimento de Área,Rolagem de Dados",7.46,6.47,16,2 a 4 jogadores ,1846º,90 min,Risk: Star Wars Edition, (2015)
 12 + ,"Jean Baer,Fabrice Lamy,Christophe Peulvast,Mick (Mike) Uhl,Olivier Vatine,Chris White (I)","Bill Eberle,Jack Kittredge,Peter Olotka",Jogos Expert,https://storage.googleapis.com/ludopedia-capas/2550_t.jpg,"Gestão de Mão,Controle/Influência de Área,Jogadores com Diferentes Habilidades,Jogo em Equipe,Leilão,Movimento de Área,Blefe,Negociação",7.91,6.47,11,2 a 6 jogadores ,1849º,240 min,Dune, (1979)
 13 + ,"Charlie Adlard,Jason Greeno","Brian David-Marshall,Keith Tralins,Matthew Wang",Jogos Expert,https://storage.googleapis.com/ludopedia-capas/1972_t.jpg,"Cooperativo,Movimento de Área,Rolagem de Dados",7.69,6.47,13,1 a 6 jogadores ,1845º,45 min,The Walking Dead: The Board Game, (2011)
 14 + ,,Iori Tsukinami,Jogos Expert,https://storage.googleapis.com/ludopedia-capas/8711_t.jpg,"Controle/Influência de Área,Vazas/Truques",7.61,6.47,14,3 a 4 jogadores ,1844º,60 min,Joraku, (2015)
 10 + ,"Markku Laine,Sami Saramäki",Mikko Punakallio,Jogos Familiares,https://storage.googleapis.com/ludopedia-capas/11888_t.jpg,"Controle/Influência de Área,Jogadores com Diferentes Habilidades,Movimento em Grades,Seleção de Cartas",7.46,6.47,16,2 a 4 jogadores ,1847º,40 min,Dokmus, (2016)
 8 + ,Alexandre Roche,"Jacques Bariot,Thomas Cauet,Guillaume Montiage",Jogos Expert,https://storage.googleapis.com/ludopedia-capas/3124_t.jpg,Leilão,7.90,6.50,12,3 a 4 jogadores ,1792º,45 min,Nefertiti, (2008)
 13 + ,"Justin Albers,Kieran Yanner","Bruno Faidutti,Serge Laget",Jogos Expert,https://storage.googleapis.com/ludopedia-capas/2262_t.jpg,"Ação / Movimento Programado,Ação Simultânea,Negociação,Ordem de Fases Variável",7.61,6.47,14,3 a 5 jogadores ,1841º,60 min,Ad Astra, (2009)
 10 + ,"Emiko Hayashi,MonsterOctopus",Akihisa Okui,Jogos Familiares,https://storage.googleapis.com/ludopedia-capas/6455_t.jpg,"Jogadores com Diferentes Habilidades,Jogo em Equipe,Votação,Blefe,Dedução,Negociação",6.54,6.48,282,3 a 7 jogadores ,1836º,10 min,One Night Werewolf, (2012)
 10 + ,Christopher Kirkman,T. C. Petty III,Jogos Familiares,https://storage.googleapis.com/ludopedia-capas/1177_t.jpg,"Alocação de Trabalhadores,Apostas,Construção de Baralho/Peças,Jogadores com Diferentes Habilidades,Rolagem de Dados,Force sua sorte,Tabuleiro Modular",7.15,6.48,24,2 a 4 jogadores ,1835º,30 min,VivaJava: The Coffee Game: The Dice Game, (2014)
